city_name;city_code;age;sex;measurement_date;value;unit
Région lémanique;CH01;Less than 5 years old;Males;2016;42734;Number
Région lémanique;CH01;Less than 5 years old;Total;2016;83362;Number
Région lémanique;CH01;Less than 5 years old;Females;2022;42015;Number
Région lémanique;CH01;Less than 5 years old;Males;2022;44207;Number
Région lémanique;CH01;Less than 5 years old;Total;2022;86222;Number
Nordwestschweiz;CH03;Less than 5 years old;Females;2004;23104;Number
Nordwestschweiz;CH03;Less than 5 years old;Males;2004;24882;Number
Nordwestschweiz;CH03;Less than 5 years old;Total;2004;47986;Number
Nordwestschweiz;CH03;Less than 5 years old;Females;2010;24216;Number
Nordwestschweiz;CH03;Less than 5 years old;Males;2010;25567;Number
Nordwestschweiz;CH03;Less than 5 years old;Total;2010;49783;Number
Nordwestschweiz;CH03;Less than 5 years old;Females;2016;27160;Number
Nordwestschweiz;CH03;Less than 5 years old;Males;2016;29049;Number
Nordwestschweiz;CH03;Less than 5 years old;Total;2016;56209;Number
Nordwestschweiz;CH03;Less than 5 years old;Females;2022;28870;Number
Nordwestschweiz;CH03;Less than 5 years old;Males;2022;30759;Number
Nordwestschweiz;CH03;Less than 5 years old;Total;2022;59629;Number
Zürich;CH04;Less than 5 years old;Females;2004;30237;Number
Zürich;CH04;Less than 5 years old;Males;2004;31907;Number
Zürich;CH04;Less than 5 years old;Total;2004;62144;Number
Zürich;CH04;Less than 5 years old;Females;2010;33762;Number
Zürich;CH04;Less than 5 years old;Males;2010;35895;Number
Zürich;CH04;Less than 5 years old;Total;2010;69657;Number
Zürich;CH04;Less than 5 years old;Females;2016;38715;Number
Zürich;CH04;Less than 5 years old;Males;2016;41013;Number
Zürich;CH04;Less than 5 years old;Total;2016;79728;Number
Zürich;CH04;Less than 5 years old;Females;2022;40263;Number
Zürich;CH04;Less than 5 years old;Males;2022;42137;Number
Zürich;CH04;Less than 5 years old;Total;2022;82400;Number
Zentralschweiz;CH06;Less than 5 years old;Females;2004;17773;Number
Zentralschweiz;CH06;Less than 5 years old;Males;2004;19062;Number
Zentralschweiz;CH06;Less than 5 years old;Total;2004;36835;Number
Zentralschweiz;CH06;Less than 5 years old;Females;2010;18189;Number
Zentralschweiz;CH06;Less than 5 years old;Males;2010;19414;Number
Zentralschweiz;CH06;Less than 5 years old;Total;2010;37603;Number
Zentralschweiz;CH06;Less than 5 years old;Females;2016;19547;Number
Zentralschweiz;CH06;Less than 5 years old;Males;2016;20789;Number
Zentralschweiz;CH06;Less than 5 years old;Total;2016;40336;Number
Zentralschweiz;CH06;Less than 5 years old;Females;2022;20613;Number
Zentralschweiz;CH06;Less than 5 years old;Males;2022;21830;Number
Zentralschweiz;CH06;Less than 5 years old;Total;2022;42443;Number
Ticino;CH07;Less than 5 years old;Females;2004;7023;Number
Ticino;CH07;Less than 5 years old;Males;2004;7392;Number
Ticino;CH07;Less than 5 years old;Total;2004;14415;Number
Ticino;CH07;Less than 5 years old;Females;2010;7162;Number
Ticino;CH07;Less than 5 years old;Males;2010;7479;Number
