city_name;city_code;value;measurement_date;name;unit
País Vasco;ES21;1248;2009;Theft of a motorized land vehicle;1
País Vasco;ES21;1179;2010;Theft of a motorized land vehicle;1
La Rioja;ES23;3;2008;Intentional homicide;1
La Rioja;ES23;2;2009;Intentional homicide;1
La Rioja;ES23;2;2010;Intentional homicide;1
La Rioja;ES23;266;2008;Robbery;1
La Rioja;ES23;233;2009;Robbery;1
La Rioja;ES23;220;2010;Robbery;1
La Rioja;ES23;395;2008;Burglary of private residential premises;1
La Rioja;ES23;384;2009;Burglary of private residential premises;1
La Rioja;ES23;489;2010;Burglary of private residential premises;1
La Rioja;ES23;267;2008;Theft of a motorized land vehicle;1
La Rioja;ES23;205;2009;Theft of a motorized land vehicle;1
La Rioja;ES23;165;2010;Theft of a motorized land vehicle;1
Illes Balears;ES53;3;2008;Intentional homicide;1
Illes Balears;ES53;7;2009;Intentional homicide;1
Illes Balears;ES53;6;2010;Intentional homicide;1
Illes Balears;ES53;1760;2008;Robbery;1
Illes Balears;ES53;1632;2009;Robbery;1
Illes Balears;ES53;1476;2010;Robbery;1
Illes Balears;ES53;3798;2008;Burglary of private residential premises;1
Illes Balears;ES53;3160;2009;Burglary of private residential premises;1
Illes Balears;ES53;3476;2010;Burglary of private residential premises;1
Illes Balears;ES53;3055;2008;Theft of a motorized land vehicle;1
Illes Balears;ES53;2419;2009;Theft of a motorized land vehicle;1
Illes Balears;ES53;1970;2010;Theft of a motorized land vehicle;1
Ciudad de Ceuta;ES63;1;2008;Intentional homicide;1
Ciudad de Ceuta;ES63;1;2009;Intentional homicide;1
Ciudad de Ceuta;ES63;1;2010;Intentional homicide;1
Ciudad de Ceuta;ES63;131;2008;Robbery;1
Ciudad de Ceuta;ES63;146;2009;Robbery;1
Ciudad de Ceuta;ES63;189;2010;Robbery;1
Ciudad de Ceuta;ES63;98;2008;Burglary of private residential premises;1
Ciudad de Ceuta;ES63;85;2009;Burglary of private residential premises;1
Ciudad de Ceuta;ES63;93;2010;Burglary of private residential premises;1
Ciudad de Ceuta;ES63;499;2008;Theft of a motorized land vehicle;1
Ciudad de Ceuta;ES63;511;2009;Theft of a motorized land vehicle;1
Ciudad de Ceuta;ES63;436;2010;Theft of a motorized land vehicle;1
Ciudad de Melilla;ES64;2;2008;Intentional homicide;1
Ciudad de Melilla;ES64;1;2009;Intentional homicide;1
Ciudad de Melilla;ES64;0;2010;Intentional homicide;1
Ciudad de Melilla;ES64;229;2008;Robbery;1
Ciudad de Melilla;ES64;236;2009;Robbery;1
Ciudad de Melilla;ES64;194;2010;Robbery;1
Ciudad de Melilla;ES64;115;2008;Burglary of private residential premises;1
