DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,FRB0,2022,2572636,p
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,FRC,2022,2791006,p
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,FRC1,2022,1614708,p
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,FRC2,2022,1176298,p
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,FRD,2022,3319743,p
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,FRD1,2022,1468032,p
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,FRD2,2022,1851711,p
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,FRE,2022,5985483,p
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,FRE1,2022,4063753,p
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,FRE2,2022,1921730,p
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,FRF,2022,5561482,p
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,FRF1,2022,1930273,p
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,FRF2,2022,1312778,p
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,FRF3,2022,2318431,p
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,FRG,2022,3882895,p
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,FRG0,2022,3882895,p
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,FRH,2022,3412207,p
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,FRH0,2022,3412207,p
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,FRI,2022,6086584,p
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,FRI1,2022,3534811,p
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,FRI2,2022,722658,p
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,FRI3,2022,1829115,p
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,FRJ,2022,6060331,p
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,FRJ1,2022,2917252,p
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,FRJ2,2022,3143079,p
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,FRK,2022,8156391,p
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,FRK1,2022,1371196,p
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,FRK2,2022,6785195,p
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,FRL,2022,5139817,p
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,FRL0,2022,5139817,p
