DATAFLOW,LAST UPDATE,freq,landuse,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE327,2022,,z
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE328,2022,714,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE329,2022,219,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE32A,2022,670,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE32B,2022,476,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE32C,2022,357,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE32D,2022,780,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE33,2022,3838,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE331,2022,657,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE332,2022,786,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE334,2022,390,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE335,2022,1161,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE336,2022,844,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE34,2022,4461,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE341,2022,319,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE342,2022,1047,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE343,2022,958,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE344,2022,1359,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE345,2022,778,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE35,2022,3665,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE351,2022,1593,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE352,2022,1163,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BE353,2022,909,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BG,2022,110001,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BG3,2022,67657,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BG31,2022,18843,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BG311,2022,2988,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BG312,2022,3576,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,BG313,2022,3581,
