DATAFLOW,LAST UPDATE,freq,unit,iccs,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE254,2008,1,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE254,2009,3,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE254,2010,4,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE255,2008,4,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE255,2009,3,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE255,2010,3,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE256,2008,1,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE256,2010,3,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE257,2010,1,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE258,2008,1,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE3,2008,75,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE3,2009,65,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE3,2010,83,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE31,2008,7,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE31,2009,1,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE31,2010,10,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE310,2008,7,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE310,2009,1,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE310,2010,10,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE32,2008,29,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE32,2009,24,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE32,2010,30,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE321,2009,2,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE321,2010,1,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE322,2008,10,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE322,2009,8,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE322,2010,9,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE323,2008,10,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE323,2009,6,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE323,2010,7,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE324,2008,1,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE324,2010,2,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE325,2008,5,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE325,2010,3,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE326,2008,3,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE326,2009,4,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE326,2010,4,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE327,2009,4,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE327,2010,4,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE33,2008,32,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE33,2009,26,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE33,2010,28,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE331,2008,5,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE331,2009,1,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE331,2010,2,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE332,2008,26,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE332,2009,23,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE332,2010,19,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE334,2010,3,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE335,2008,1,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE335,2009,2,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE335,2010,2,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE336,2010,2,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE34,2008,2,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE34,2009,5,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE34,2010,6,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE341,2008,1,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE341,2009,1,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE341,2010,2,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE342,2009,1,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE343,2009,2,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE343,2010,1,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE344,2009,1,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE345,2008,1,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE345,2010,3,
